,name,content
60,락토핏 골드 1통 (50일분),유산균 이것만 먹어요. 이벤트 자주 해주세요. ~~~~
61,락토핏 골드 1통 (50일분),락도핏 없으면안되요 굿
62,락토핏 골드 1통 (50일분),"매일  잘챙겨먹고있어요.
감사합니다."
63,락토핏 골드 1통 (50일분),장건강을 위해서 열심히 먹고있습니다. 맛도 좋고 섭취도 편합니다.
64,락토핏 골드 1통 (50일분),원래 먹던거라 만족합니다
65,락토핏 골드 1통 (50일분),광고에서 많이봤는데 먹기에도 좋고 맛도 좋아요. 꾸준히 복용해야 겠어요
66,락토핏 골드 1통 (50일분),"맛도 좋고 건강에도 좋은 락토핏, 아이들이 알아서 챙겨먹어요! 하나씩 톡톡 간식 먹듯 재밌게 먹습니다."
67,락토핏 골드 1통 (50일분),"배송이 빠르네요.
손으로 쉽게 개봉 되어 언제나 어디에서든 갖고 다니면서 먹기 좋네요.
가루형이라 입에 쏘옥 털어 넣으면 되어 온가족이 잘 먹고 있어요."
68,락토핏 골드 1통 (50일분),"이지컷이라 손으로 쉽게 개봉 되어 언제 어디에서나 휴대하면서 먹기에도 좋네요.
가루타입이라 먹기 편해요.
온가족이 잘 먹고 있어요."
69,락토핏 골드 1통 (50일분),저렴하게잘구입했어요ㅎㅎ
70,락토핏 골드 1통 (50일분),"배송도 빠르고 포장상태도 꼼꼼하게 도착해서 만족합니다 
특히 예민한 장이었는데, 락토핏 유산균 먹고 훨씬 좋아져서 감사합니다~"
71,락토핏 골드 1통 (50일분),잘산거같아 만족스럽네요ㅎㅎ
72,락토핏 골드 1통 (50일분),락토핏 잘 받았습니다 
73,락토핏 골드 1통 (50일분),락토핏 잘 받았습니다 
74,락토핏 골드 1통 (50일분),친구초대하고 적립금으로 가볍게 구입했네요^^ 두번째인데 맛나고 좋아요 감사^^
75,락토핏 골드 1통 (50일분),남편이 애정하는 유산균입니다. 종근당에서 매번 잘 사고 있어요
76,락토핏 골드 1통 (50일분),좋은 가격에 잘 샀어요. 먹기 편하게 알약 형태로도 나오면 더 좋을거 같아요
77,락토핏 골드 1통 (50일분),늘 먹는 유산균입니다
78,락토핏 골드 1통 (50일분),늘 먹는 유산균입니다
79,락토핏 골드 1통 (50일분),늘 먹는 유산균입니다
80,락토핏 골드 1통 (50일분),좋은제품 싸게 잘샀어요.
81,락토핏 골드 1통 (50일분),락토핏골드좋아요!!
82,락토핏 골드 1통 (50일분),락토핏골드좋아요!!
83,락토핏 골드 1통 (50일분),락토핏골드좋아요!!
84,락토핏 골드 1통 (50일분),락토핏골드좋아요!!
85,락토핏 골드 1통 (50일분),락토핏골드 좋아요!
86,락토핏 골드 1통 (50일분),락토핏골드좋아요!!
87,락토핏 골드 1통 (50일분),락토핏골드 저렴하게샀어요
88,락토핏 골드 1통 (50일분),락토핏저렴해요 ~~
89,락토핏 골드 1통 (50일분),구매해서 잘 먹고 있습니다
90,락토핏 골드 1통 (50일분),평소에도 구매해서 먹고있습니다.
91,락토핏 골드 1통 (50일분),"항상 잘 먹고 있어요
좋은 가격에 감사합니다~"
92,락토핏 골드 1통 (50일분),항상 먹는 제품이예요
93,락토핏 골드 1통 (50일분),쿠폰행사로 정말 싸게 구매~맛도 좋고 효과도 좋고
94,락토핏 골드 1통 (50일분),싸게 잘 구매했고 잘먹고 있어요
95,락토핏 골드 1통 (50일분),믿고 먹눈 랏토핏~아주 좋아오
96,락토핏 골드 1통 (50일분),락토핏 좋아요 맛나요
97,락토핏 골드 1통 (50일분),락토핏 맛있고 좋아요
98,락토핏 골드 1통 (50일분),아침마다 하나씩 먹기편해서 좋네요 !
99,락토핏 골드 1통 (50일분),"떨어지면 약간 불안합니다. 
신경써서 쟁여 놔야해요. 
감사합니다 "
